NMI,Algorithm,Representation,Labels
0.08657913249313245,KPCA,WL,True
0.05243966727420343,TSVD,WL,True
0.05324849989035993,SPEC,WL,True
0.033296189618216905,KPCA,WL,False
0.034999196844666736,TSVD,WL,False
0.018205593414105502,SPEC,WL,False
0.07536826354684056,KPCA,Shortest Path,True
0.0419298647655842,TSVD,Shortest Path,True
0.0419298647655842,SPEC,Shortest Path,True
0.05204015504518525,KPCA,Graphlet,True
0.0745890794815146,TSVD,Graphlet,True
0.05336100396006777,SPEC,Graphlet,True
0.043246268506697466,KPCA,Graphlet,False
0.05208487209394677,TSVD,Graphlet,False
0.016805892222859036,SPEC,Graphlet,False
0.04198895655579464,KPCA,Shortest Path,False
0.0325822186078723,TSVD,Shortest Path,False
0.032686981713039805,SPEC,Shortest Path,False
